date,VOO,GLD,TLT
2016-09-02,0.004461254699120953,0.010216288370529014,-0.00815630669948686
2016-09-06,0.0031442871133009476,0.016907695537669243,0.007285236987357946
2016-09-07,-4.943446346905578e-05,-0.003418556588101307,-0.0007159534182035188
2016-09-08,-0.0023387597802457805,-0.0053013792150961025,-0.012541251342147675
2016-09-09,-0.02413706088881029,-0.00658355954228651,-0.016474505212662582
2016-09-12,0.014309033733167498,-0.0012623563085552014,0.0005171896115627739
2016-09-13,-0.014256271706614365,-0.0066355664917512325,-0.011358448368301799
2016-09-14,-0.000616057743821008,0.0034194855282367875,0.0014921484174954536
2016-09-15,0.010274418718121181,-0.006419381491795106,-0.0043206849258136115
2016-09-16,-0.003915702723341075,-0.00247272219188599,0.0080798417045298
2016-09-19,0.0003063749874325783,0.00207901920123299,-0.003264815079009886
2016-09-20,0.00010233759554023614,0.0009575705942728163,0.003499158463228458
2016-09-21,0.011226172480002461,0.014588601451239303,0.008087283592191241
2016-09-22,0.006004640323391985,0.00235721740921524,0.007948411594444371
2016-09-23,-0.005366984872017033,0.0006271210413582029,-0.0009492064895975094
2016-09-26,-0.007968114887913047,-0.0007833801247610905,0.006358993401218038
2016-09-27,0.0061001334723052025,-0.007291260548213385,0.0073355630140210515
2016-09-28,0.005406487585895681,-0.003159070582864132,-0.00216300087279242
2016-09-29,-0.009397596806838049,-0.0011884132817953086,0.0025287635028889976
2016-09-30,0.008015815067572207,-0.003410805950794571,-0.008937105614589602
2016-10-03,-0.003171106251496081,-0.0025469571504198596,-0.0032999872149563902
2016-10-04,-0.004644983201894215,-0.03471112739159021,-0.011695485697071129
2016-10-05,0.004159514915367035,-0.0015706575141682944,-0.004659170552304581
2016-10-06,0.0011619907011775066,-0.009273018119780652,-0.005572555867771389
2016-10-07,-0.0036832933733451645,0.000668512445361813,0.0006719182729459927
2016-10-10,0.004608363938231719,0.0035076482865623593,-0.0058986267665993575
2016-10-11,-0.012148944494838498,-0.005076569505331308,-0.002253558194734606
2016-10-12,0.001275816631011839,0.0015892497462293154,0.000978872067977088
2016-10-13,-0.003210913818985417,0.002421921836488483,0.003760402340354352
2016-10-14,0.000255732400736175,-0.0055819226506638175,-0.014011842160373322
2016-10-17,-0.0029648580141167225,0.0026809625769763645,0.006383532959821636
2016-10-18,0.005895622608856899,0.006183137214928136,0.003247069787913448
2016-10-19,0.002752744569818999,0.0057299655530487215,0.0008281948439268216
2016-10-20,-0.001626636245951607,-0.0030550965627722526,0.0010526262079555426
2016-10-21,0.0002546387405244488,0.0007454362173064943,0.0015025726164186182
2016-10-24,0.004071632046833473,-0.0022345797266349887,-0.004351614260733716
2016-10-25,-0.002838557507338302,0.007548139354159433,0.002637471024630411
2016-10-26,-0.0022369889099828066,-0.00559809251948773,-0.006763064758976034
2016-10-27,-0.002649317665569084,0.0018213529185828747,-0.01089340458367094
2016-10-28,-0.003167009635787532,0.0047103519110967,-0.002218615753860398
2016-10-31,0.0,0.0029610183001298473,0.006132148082274469
2016-11-01,-0.006969922058247091,0.006478603409139305,7.669099792728673e-05
2016-11-02,-0.006605904454842215,0.007414617516698918,0.004351224624285388
2016-11-03,-0.0038962611961300686,0.005338107937297831,-0.007676384197594532
2016-11-04,-0.001355861298576233,0.0007240252267182168,0.008960980492878301
2016-11-07,0.02193446585927039,-0.018007861361529542,-0.00850155132673902
2016-11-08,0.004599181598438085,-0.004175211869501427,-0.004057951725981668
2016-11-09,0.01068247624288099,-0.0006576934516286936,-0.04243189689250437
2016-11-10,0.002315289188810743,-0.01488974658560116,-0.014770877363340373
2016-11-11,-0.001857743665750089,-0.02212944906788228,-0.005621978578719156
2016-11-14,0.00015083267661464284,-0.008454294420749409,-0.005981559157475114
2016-11-15,0.008098844776108116,0.00869866618655779,0.004945516666436056
2016-11-16,-0.0016967297066209364,-0.002988440021410743,0.009023322000533351
2016-11-17,0.00474825880307983,-0.005138293152093909,-0.014714088012725113
2016-11-18,-0.0017905355952414492,-0.008780207102896176,-0.002887961824965757
2016-11-21,0.007375485488418709,0.0037342622620732957,0.002482338397729711
2016-11-22,0.0018302606762841123,-0.00034608855246265335,-0.0003299531007748824
2016-11-23,0.0008890789303337421,-0.019819983532816443,-0.003880794789309916
2016-11-25,0.003996372929734537,-0.005651208738617575,0.0014917776710055008
2016-11-28,-0.004717539823808403,0.010567466787642088,0.007366465557979707
2016-11-29,0.0015796129156471217,-0.004657349687858581,0.0041900989697771784
2016-11-30,-0.002267758387397678,-0.013419234467324848,-0.01620023657803371
2016-12-01,-0.0039027588916834555,-0.0018791864382340373,-0.010558133154278115
