date,SPMO,VOO
2020-01-03,-0.003084079034478937,-0.007305305816182384
2020-01-06,0.0007377453597647854,0.003747058312595808
2020-01-07,-0.005707664753629493,-0.0027578063758286753
2020-01-08,0.005022887788880714,0.005159868235255827
2020-01-09,0.010233294245060476,0.006911451465665852
2020-01-10,-0.0012017573181243302,-0.002865656954347151
2020-01-13,0.007288161729213982,0.0066160254839500166
2020-01-14,-0.002013611770167567,-0.001327755725953561
2020-01-15,0.009337628151776078,0.0022272575366042435
2020-01-16,0.007787054863488185,0.008357914232530073
2020-01-17,0.0062508752330139306,0.0033879791926103575
2020-01-21,0.0014671224374389613,-0.002065410653563693
2020-01-22,0.00299816302075695,0.00026261402469240913
2020-01-23,4.5964709566526096e-05,0.000985426541983525
2020-01-24,-0.004929208258768636,-0.009120741437967594
2020-01-27,-0.009424976097469728,-0.015892284981417037
2020-01-28,0.008056239284987665,0.010833497487508836
2020-01-29,-0.0012631386159949187,-0.000998295217216727
2020-01-30,0.009634964292266845,0.0031316173490840704
2020-01-31,-0.016808205111756847,-0.017934798797898277
2020-02-03,0.010331300144743594,0.007270850956075714
2020-02-04,0.011624312885432087,0.01541140926547735
2020-02-05,-2.2825046758878642e-05,0.01130843120785796
2020-02-06,0.005099751442557254,0.0033999977594743047
2020-02-07,-0.003563031105900394,-0.005083098519554019
2020-02-10,0.009572665821363069,0.0071726528253843735
2020-02-11,-0.0007172564317464714,0.001821027841375722
2020-02-12,0.0033645986877164358,0.0064267241468605185
2020-02-13,0.0023026933888563583,-0.0009673540488733812
2020-02-14,0.006245331502156004,0.0016784862695529146
2020-02-18,0.0009310806988331866,-0.0027393442938862256
2020-02-19,0.001328865039371463,0.004815243944604974
2020-02-20,-0.004091496391374072,-0.003923860744484475
2020-02-21,-0.008661189532094271,-0.010364965308750418
2020-02-24,-0.026455999844459566,-0.03344313465887705
2020-02-25,-0.02666888481892704,-0.03004302795422298
2020-02-26,-0.0038768565494360363,-0.004419701680073551
2020-02-27,-0.04855715685237183,-0.0443249984001014
2020-02-28,-0.01247207179276344,-0.0060353108597628324
2020-03-02,0.055316923233467596,0.044638424073774496
2020-03-03,-0.02465282330141072,-0.027583191017235054
2020-03-04,0.04466264512647111,0.041443671554949546
2020-03-05,-0.025910120623656274,-0.0334985677966082
2020-03-06,-0.010297692605622077,-0.016771411419500337
2020-03-09,-0.05501933400215686,-0.07716238054061164
2020-03-10,0.03589277001573521,0.05132074244874363
2020-03-11,-0.043759142813614704,-0.049581302559761675
2020-03-12,-0.08480869599968033,-0.09671744087229095
2020-03-13,0.06834872491386634,0.0934298003772005
2020-03-16,-0.15353695751548435,-0.11738817264838874
2020-03-17,0.1020948002220674,0.06547100910280945
2020-03-18,-0.026255726435011617,-0.054663430802170065
2020-03-19,-0.0019932165604236163,0.0008630085381273744
2020-03-20,-0.050158545277572464,-0.04356882015524244
2020-03-23,-0.03468750023732814,-0.030701426295103307
2020-03-24,0.09315166368645156,0.09536399072601731
2020-03-25,0.013814320916987644,0.012826728440097579
2020-03-26,0.05990875281753283,0.0601008861489607
2020-03-27,-0.024423846618819245,-0.030719434297521997
2020-03-30,0.039280909356993465,0.0323369187144662
2020-03-31,-0.02630599366827646,-0.01485085926941554
2020-04-01,-0.040871665018449965,-0.045055273029040444
2020-04-02,0.029036230979375466,0.023391850906703704
2020-04-03,-0.01294093588589873,-0.014777379710775529
2020-04-06,0.06965732748189746,0.06802040408307475
2020-04-07,-0.010658176728575053,0.0005337871256119175
2020-04-08,0.03485065977136359,0.033940725117237
2020-04-09,0.018243515791807496,0.014845442094534311
2020-04-13,-0.017200969482694894,-0.009699942499582503
2020-04-14,0.03427615067369971,0.030530483307432243
2020-04-15,-0.022780907404629458,-0.02176917245045462
2020-04-16,0.011218727036088616,0.005054269754005025
2020-04-17,0.024809200448512314,0.027598768348511715
2020-04-20,-0.020484335888507954,-0.01801923550107931
2020-04-21,-0.028643684387750445,-0.03055683836973966
2020-04-22,0.028235512660411688,0.021996397685021707
2020-04-23,-0.010177025403134476,-0.00019489421480967106
2020-04-24,0.008179366132798682,0.01450745455960778
2020-04-27,0.014089714621215776,0.014453842254105176
2020-04-28,-0.009254124433719535,-0.004622988183916155
2020-04-29,0.02040251052632769,0.025772584725475722
2020-04-30,-0.0073184354889367365,-0.008721437931359044
2020-05-01,-0.021291332435004362,-0.027255596392082193
2020-05-04,0.01039223988414073,0.0031560832165693498
2020-05-05,0.0144804221827044,0.009208009107246395
2020-05-06,-0.005106703018149639,-0.006728964787554359
2020-05-07,0.008788591817659341,0.011826766327211802
2020-05-08,0.015239120808524076,0.01671982336243727
2020-05-11,0.00633215231652251,0.00014865009850395516
2020-05-12,-0.019556680291114348,-0.020124978117791126
2020-05-13,-0.012265025289154075,-0.017728920414472604
2020-05-14,0.008654563612544353,0.012058578656969576
2020-05-15,0.006267659569382467,0.004505977432957664
2020-05-18,0.028175742036627316,0.030565571657583446
2020-05-19,-0.007115164961326914,-0.00944355877484171
2020-05-20,0.00968412687770881,0.01631181256680936
2020-05-21,-0.01064652208892125,-0.007182281724414152
2020-05-22,0.006277417808138841,0.0022515258775543945
2020-05-26,0.0029141359279485357,0.012851857474536876
2020-05-27,0.007468812792256196,0.014579622140948434
2020-05-28,0.008867592429726123,-0.001970722525371671
2020-05-29,0.009758290895732102,0.004488381045266943
2020-06-01,0.0014974763021873283,0.0043611798640548205
2020-06-02,0.006775808041797671,0.008221350665255978
2020-06-03,0.0068925681006368755,0.013202409244944091
2020-06-04,-0.01302248956841745,-0.0025434046909357244
2020-06-05,0.021297539617933348,0.025568504968396688
2020-06-08,0.00791143410060502,0.0121250451793955
2020-06-09,-0.00022689569458955727,-0.007100251391292889
2020-06-10,0.009779982278529387,-0.006235787580504026
2020-06-11,-0.053369869101009826,-0.05763616566801566
2020-06-12,0.011750754771097771,0.012051020941546753
2020-06-15,0.005419888223703095,0.009118587911896014
2020-06-16,0.01526189587418103,0.019560700550318
2020-06-17,0.003769303534846502,-0.004587999781070051
2020-06-18,0.0003668518488297856,0.0009078904988564229
2020-06-19,-0.003731399979249761,-0.00589529388876886
2020-06-22,0.008602882972571946,0.006632217337931179
2020-06-23,0.0029496664231185576,0.004531472926258662
2020-06-24,-0.022001753717399875,-0.025575815237885324
2020-06-25,0.00857903360227108,0.010577240108351482
2020-06-26,-0.020178894506666323,-0.023435054178418402
2020-06-29,0.012738766334024598,0.014592931492063421
2020-06-30,0.01723725718143454,0.013336020896397516
2020-07-01,0.005518796813669846,0.006844653876444617
2020-07-02,0.0022547344573222716,0.005046054734186178
2020-07-06,0.013474189863550867,0.015515721163274376
2020-07-07,-0.004506721016423909,-0.010369139729922039
2020-07-08,0.010923333466424046,0.007424308129673873
2020-07-09,-0.0010915114446470309,-0.005096678241817254
2020-07-10,0.0052854597966396355,0.010038107459605206
2020-07-13,-0.014775335092460318,-0.009047418700954712
2020-07-14,0.01605541714687453,0.013383651288655596
2020-07-15,0.0030582425503269395,0.008873004680660435
2020-07-16,-0.004220082865321606,-0.0029088534499964736
2020-07-17,0.00856459905115825,0.002645848923922056
2020-07-20,0.013705854496441683,0.008323437207392814
2020-07-21,-0.004969779580982658,0.0020803404976856843
2020-07-22,0.012213843665703328,0.005692658798003514
2020-07-23,-0.015772876729141294,-0.01195347611231834
2020-07-24,-0.0010286697050110316,-0.006470167040897534
2020-07-27,0.008590617392835176,0.007292677932485114
2020-07-28,-0.005127798732114663,-0.006196347019177706
2020-07-29,0.012907678339489692,0.012096695120771939
2020-07-30,0.002673781354560756,-0.00364919530850516
2020-07-31,0.011096710298337698,0.008366745589442504
2020-08-03,0.01286767085062257,0.0062979728181784544
2020-08-04,0.005228459174146272,0.004205193160228049
2020-08-05,0.0025695730047801124,0.006232458050130285
2020-08-06,0.008521820512959133,0.006717821416324377
2020-08-07,-0.00458622939344,0.0005209029778954211
2020-08-10,-0.0033625415981380913,0.0031886126326414743
2020-08-11,-0.014431633410490141,-0.008075480026722315
2020-08-12,0.021404842478937036,0.013699716159342179
2020-08-13,0.002668400000671367,-0.001709637728666502
2020-08-14,-0.0018981893209063516,0.0
2020-08-17,0.01041830108221764,0.0032307266249465005
2020-08-18,0.0008185095026613798,0.002093643550356683
2020-08-19,-0.0031685291284422323,-0.004242569037017363
2020-08-20,0.00892034730338076,0.0031629833898285664
2020-08-21,0.008251831976786805,0.0035712145468242973
2020-08-24,0.003668887446806268,0.010162514933741429
2020-08-25,0.0036356756262574397,0.003491039170004262
