fee_bps,strategy,observations,final_wealth,total_return_pct,cagr_pct,annual_volatility_pct,sharpe_zero_rf,max_drawdown_pct,total_turnover,trades,fees_paid_dollars
0.0,All Weather proxy (buy & hold),2675,2506.9973135510068,150.69973135510065,9.044190463212164,10.088260910138088,0.908860946903245,-26.213447487017085,0.0,0,0.0
0.0,MMAR tail utility (21d),2675,3571.855129483264,257.18551294832645,12.741990894888966,10.984979457220811,1.1470305340569187,-20.102864844463795,15.589380983237717,111,0.0
0.0,MMAR tail utility (daily),2675,3909.3648090482375,290.9364809048237,13.705042325459061,10.70648901721747,1.2535225359252256,-19.259875503052758,257.983818060612,2239,0.0
0.0,"VOO (100%, buy & hold)",2675,4774.6216042104925,377.4621604210492,15.867025236015975,17.810214026567166,0.9164529790483902,-33.99300729823539,0.0,0,0.0
5.0,All Weather proxy (buy & hold),2675,2506.9973135510068,150.69973135510065,9.044190463212164,10.088260910138088,0.908860946903245,-26.213447487017085,0.0,0,0.0
5.0,MMAR tail utility (21d),2675,3494.953265985719,249.4953265985719,12.5110621581344,11.00566836444751,1.1264421361896033,-20.137169222049568,15.442445827078195,111,13.470592983109235
5.0,MMAR tail utility (daily),2675,3498.4509543939866,249.84509543939865,12.52166482118322,10.698492232947613,1.1565445357958637,-19.544357397420665,248.39837087768933,2197,211.43117910698777
5.0,"VOO (100%, buy & hold)",2675,4774.6216042104925,377.4621604210492,15.867025236015975,17.810214026567166,0.9164529790483902,-33.99300729823539,0.0,0,0.0
20.0,All Weather proxy (buy & hold),2675,2506.9973135510068,150.69973135510065,9.044190463212164,10.088260910138088,0.908860946903245,-26.213447487017085,0.0,0,0.0
20.0,MMAR tail utility (21d),2675,3510.708957997172,251.0708957997172,12.5587472926447,11.128507048694349,1.1190660816314657,-19.861873245749162,13.659725274197992,105,47.96483693741828
20.0,MMAR tail utility (daily),2675,2537.5289986082034,153.75289986082032,9.168611156771057,10.693815504895445,0.8739997639656061,-23.770480230585544,215.39619475239843,2051,612.5981846029091
20.0,"VOO (100%, buy & hold)",2675,4774.6216042104925,377.4621604210492,15.867025236015975,17.810214026567166,0.9164529790483902,-33.99300729823539,0.0,0,0.0
