target,window_start,as_of,horizon_days,var_95_pct,var_95_posterior_q05_pct,var_95_posterior_q95_pct,historical_var_95_pct,expected_shortfall_95_pct,es_95_posterior_q05_pct,es_95_posterior_q95_pct,historical_es_95_pct,predictive_return_median_pct,realized_forward_return_pct
TLT,2015-03-06,2016-03-10,20,6.882493197917938,4.289707630872726,8.66406363248825,5.91095010081774,8.79044713607679,6.1218666434288025,10.703943759202952,7.505199382935437,0.5160689353942871,2.8162697671346493
EW,2015-03-06,2016-03-10,20,3.810775876045227,2.558922663331032,4.781237870454787,2.9267047178620675,4.912263570198169,3.375736147165299,5.889396280050278,3.2855731216698403,0.056105852127075195,1.1292709686816282
VOO,2015-04-07,2016-04-11,20,7.182076275348663,4.617581859230995,8.89537978172302,7.1556431842095325,9.72535954400276,6.6832439601421365,12.051315963268278,8.382811493615815,0.4274904727935791,0.9461177705384793
GLD,2015-04-07,2016-04-11,20,7.955261766910553,5.264906123280525,9.926467910408972,7.352742039607005,9.987223163867991,7.19305494427681,12.155799776315689,8.084122624001123,-0.777086615562439,0.5165398257831244
TLT,2015-04-07,2016-04-11,20,6.737236976623535,4.081655517220497,8.31169168651104,5.91095010081774,8.51181886003663,5.58580419421196,9.970441818237305,7.505199382935437,0.38315653800964355,-0.5434127354547291
EW,2015-04-07,2016-04-11,20,3.6172375082969666,2.283636450767517,4.523800730705261,2.9267047178620675,4.651777807157487,3.280597299337387,5.615284323692322,3.2855731216698403,0.06746649742126465,0.35082346130359543
VOO,2015-05-06,2016-05-10,20,7.410250604152679,4.874034911394119,9.159669414162634,7.1556431842095325,10.099857110374916,7.378371626138687,12.383731693029402,8.382811493615815,0.3719747066497803,1.9090685011740716
GLD,2015-05-06,2016-05-10,20,7.703957259654999,5.265668421983719,9.321041285991669,7.352742039607005,9.627748276883114,7.168927222490311,11.551618844270704,8.084122624001123,-0.5902349948883057,-0.3306344145971307
TLT,2015-05-06,2016-05-10,20,6.283032298088073,4.123392343521118,7.88833802938461,3.652338164222335,8.176913321949542,5.65946963429451,9.904191106557844,4.462400040603575,0.6993532180786133,2.043197679894959
EW,2015-05-06,2016-05-10,20,3.450972139835358,2.194401115179062,4.282587394118309,2.8316192263188245,4.531787355275204,3.183390200138092,5.500280410051346,3.282234026928474,0.21075010299682617,1.2394185757142129
VOO,2015-06-05,2016-06-09,20,7.005882263183594,4.192470744252204,8.716632410883902,7.1556431842095325,9.637482623414446,6.62031751871109,11.794253855943676,8.382811493615815,0.7550954818725586,0.8252337804361076
GLD,2015-06-05,2016-06-09,20,7.668779790401459,5.588837370276451,9.380117580294609,7.352742039607005,9.559423185419291,7.116597652435303,11.396835565567017,8.084122624001123,-0.517842173576355,7.645364348421468
TLT,2015-06-05,2016-06-09,20,5.413253009319305,2.883853569626808,7.075225308537478,3.0386226816930506,7.221260119695216,4.5713483691215515,9.051325798034668,3.8223538480828636,1.2940585613250732,7.257169656683815
EW,2015-06-05,2016-06-09,20,2.9606977105140686,1.7903735190629957,3.7124291211366653,2.8316192263188245,3.984167391899973,2.640461653470993,4.726126044988632,3.282234026928474,0.5557715892791748,5.324731949597106
VOO,2015-07-07,2016-07-11,20,7.27627694606781,4.762110218405724,9.606809526681895,7.1556431842095325,10.10995477360363,6.883198618888855,12.749412775039673,8.382811493615815,0.7827877998352051,2.154731403735788
